Sound Analyzer App: v2.7
Modo: 	Sonómetro
Ultima calibración: 	14 ago 2026 - 07:44:42
Fecha: 	26 ago 2026
Hora: 	09:38:41
Duración (s): 	306,689161
Overflow: 	0
Estadísticas	LZE (dB)	LZeq (dB)	LZF (dB)	LZS (dB)	LZI (dB)	LAE (dBA)	LAeq (dBA)	LAF (dBA)	LAS (dBA)	LAI (dBA)	LCE (dBC)	LCeq (dBC)	LCF (dBC)	LCS (dBC)	LCI (dBC)	LEX8h (dBA)
Max	n/a	n/a	91,71	88,57	92,77	n/a	n/a	89,22	87,92	90,39	n/a	n/a	91,57	87,76	92,64	n/a
Min	n/a	n/a	64,30	71,15	71,13	n/a	n/a	55,71	60,99	62,04	n/a	n/a	63,94	70,85	70,77	n/a
Tiempo (s): 	LZE (dB)	LZeq (dB)	LZF (dB)	LZS (dB)	LZI (dB)	LAE (dBA)	LAeq (dBA)	LAF (dBA)	LAS (dBA)	LAI (dBA)	LCE (dBC)	LCeq (dBC)	LCF (dBC)	LCS (dBC)	LCI (dBC)	LEX8h (dBA)
0,092880	61,54	71,86	71,62	71,25	71,88	57,70	68,02	66,18	60,99	68,08	61,33	71,65	71,38	70,94	71,67	13,10
0,185760	64,25	71,56	71,37	71,24	71,84	59,66	66,97	65,57	61,64	67,96	64,02	71,33	71,12	70,94	71,64	15,07
0,278639	65,58	71,13	70,76	71,16	71,76	60,12	65,67	63,64	61,55	67,74	65,35	70,90	70,52	70,86	71,55	15,53
0,371519	66,98	71,28	71,26	71,21	71,75	61,75	66,05	65,80	62,43	67,70	66,74	71,04	71,02	70,91	71,54	17,16
0,464399	67,96	71,29	71,29	71,22	71,73	62,15	65,48	64,05	62,38	67,50	67,71	71,05	71,03	70,93	71,51	17,56
0,557279	68,92	71,46	71,88	71,32	72,25	62,45	64,99	62,78	62,28	67,29	68,66	71,20	71,57	71,02	71,91	17,85
0,650159	69,92	71,79	72,69	71,54	73,35	63,34	65,21	64,85	62,84	67,24	69,66	71,53	72,42	71,25	73,12	18,75
0,743039	70,67	71,96	72,88	71,69	73,33	63,59	64,88	63,32	62,72	67,04	70,39	71,68	72,55	71,39	73,09	18,99
0,835918	71,41	72,19	73,30	71,91	73,72	63,76	64,53	61,86	62,53	66,83	71,14	71,91	72,99	71,62	73,44	19,16
0,928798	71,95	72,28	73,20	72,02	73,68	64,11	64,43	62,93	62,62	66,68	71,68	72,00	72,92	71,73	73,40	19,52
1,021678	72,43	72,34	72,98	72,11	73,63	64,34	64,25	62,24	62,55	66,50	72,15	72,06	72,68	71,81	73,35	19,75
